"","fleet","EEZ",landings
"1","Egypt","Russia",3225021028
"2","Lebanon","Russia",54325637
"3","Yemen","Russia",174314485
"4","Tunisia","Russia",23983042
"5","Sudan","Russia",282935750
"6","Libya","Russia",37448090
"7","Egypt","Ukraine",1220179917
"8","Lebanon","Ukraine",238613416
"9","Yemen","Ukraine",144384343
"10","Tunisia","Ukraine",194376803
"11","Sudan","Ukraine",23882615
"12","Libya","Ukraine",108889954
"13","Egypt","Others",750024627
"14","Lebanon","Others",94988106
"15","Yemen","Others",354989413
"16","Tunisia","Others",248179305
"17","Sudan","Others",222978581
"18","Libya","Others",99880914